LaneNumber	LaneDirection	Volume	Hour	DayNumber	Class
5	2	305	22	2	0
6	2	328	22	2	0
4	2	131	23	2	0
5	2	232	23	2	0
6	2	212	23	2	0
4	2	153	21	3	0
5	2	241	21	3	0
6	2	231	21	3	0
4	2	124	22	3	0
5	2	214	22	3	0
6	2	209	22	3	0
4	2	89	23	3	0
5	2	182	23	3	0
6	2	153	23	3	0
4	2	94	21	4	0
5	2	241	21	4	0
6	2	194	21	4	0
4	2	67	22	4	0
5	2	181	22	4	0
6	2	176	22	4	0
4	2	51	23	4	0
5	2	164	23	4	0
6	2	127	23	4	0
4	2	183	21	0	1
5	2	268	21	0	1
6	2	322	21	0	1
4	2	110	22	0	1
5	2	213	22	0	1
6	2	256	22	0	1
4	2	83	23	0	0
5	2	175	23	0	0
6	2	178	23	0	0
4	2	142	21	1	0
5	2	236	21	1	0
6	2	265	21	1	0
4	2	171	22	1	0
5	2	241	22	1	0
6	2	290	22	1	0
4	2	103	23	1	0
5	2	186	23	1	0
6	2	183	23	1	0
4	2	117	21	2	0
5	2	286	21	2	0
6	2	273	21	2	0
4	2	70	22	2	0
5	2	320	22	2	0
6	2	312	22	2	0
4	2	11	23	2	0
5	2	182	23	2	0
6	2	173	23	2	0
4	2	125	21	3	0
5	2	224	21	3	0
6	2	219	21	3	0
4	2	99	22	3	0
